total_capacity,checkin_date,checkout_date,adults,children,hotel,price,score,avg review,reviews count
,2024-02-27,2024-02-29,5,0,"Plaza Nueva's House ""El Consul""",US$379,8.4,Very Good,49
,2024-02-27,2024-02-29,5,0,Apartamentos Ilíberis,US$303,8.8,Excellent,339
,2024-02-27,2024-02-29,5,0,tuGuest El Rincón de Felisa,US$216,9.1,Wonderful,21
,2024-02-27,2024-02-29,5,0,Toc Hostel Granada,US$401,9.1,Wonderful,"3,656"
,2024-02-27,2024-02-29,5,0,Chapizhome,US$298,8.3,Very Good,549
,2024-02-27,2024-02-29,5,0,Apartamentos de Isabella,US$267,8.6,Excellent,845
83%,,,,,,,,,
,2024-02-27,2024-02-29,4,3,Chezmoihomes Glow and elegant 4 BR apartment in the heart of granada parking free,US$379,9.1,Wonderful,79
,2024-02-27,2024-02-29,4,3,tuGuest El Rincón de Felisa,US$216,9.1,Wonderful,21
,2024-02-27,2024-02-29,4,3,Arte Vida Suites & Spa,US$300,8.7,Excellent,"1,130"
,2024-02-27,2024-02-29,4,3,Apartamentos Turísticos Mauror,US$648,9.4,Wonderful,718
,2024-02-27,2024-02-29,4,3,Casa Mirador Alquería,US$232,8.8,Excellent,4
,2024-02-27,2024-02-29,4,3,tuGuest Gran Via 42 Apartment,US$340,8.0,Very Good,67
,2024-02-27,2024-02-29,4,3,Chezmoihomes Alhambra Penthouse,US$514,9.4,Wonderful,119
,2024-02-27,2024-02-29,4,3,GRAN VÍA DELUXE,US$450,9.3,Wonderful,24
,2024-02-27,2024-02-29,4,3,BiBo Suites Plaza Nueva,US$431,9.2,Wonderful,"2,862"
,2024-02-27,2024-02-29,4,3,Apartamentos Granata,US$317,8.7,Excellent,299
,2024-02-27,2024-02-29,4,3,BENDITA CASA,US$498,9.1,Wonderful,105
,2024-02-27,2024-02-29,4,3,Chapizhome,US$298,8.3,Very Good,549
,2024-02-27,2024-02-29,4,3,Grace Apartments - 3 bedroom City Centre,US$428,9.7,Exceptional,182
,2024-02-27,2024-02-29,4,3,Impresionante apartamento Palacio de Congresos,US$401,9.2,Wonderful,57
,2024-02-27,2024-02-29,4,3,"City Castle, Granada center, casa completa",US$313,9.7,Exceptional,55
,2024-02-27,2024-02-29,4,3,"House&Cave Parking and Terrace, in the city",US$557,9.5,Exceptional,25
,2024-02-27,2024-02-29,4,3,tuGuest S. Jerónimo Apartment,US$438,9.2,Wonderful,61
,2024-02-27,2024-02-29,4,3,FAMILY CATEDRAL CENTRO,US$384,8.2,Very Good,53
,2024-02-27,2024-02-29,4,3,Zahira Suites,US$290,7.0,Good,235
,2024-02-27,2024-02-29,4,3,Apartamento Góngora,US$332,8.8,Excellent,46
,2024-02-27,2024-02-29,4,3,Casa Jardin Alhambra,US$619,9.5,Exceptional,51
,2024-02-27,2024-02-29,4,3,tuGuest Station 2 apartment,US$341,8.3,Very Good,75
,2024-02-27,2024-02-29,4,3,Apartamento centro de Granada 2,US$234,9.3,Wonderful,14
,2024-02-27,2024-02-29,4,3,Chezmoihomes The Best Ultimate Luxury Penthouse,US$378,8.1,Very Good,65
,2024-02-27,2024-02-29,4,3,tuGuest San Agustin II Apartment,US$304,-,-,-
82%,,,,,,,,,
,2024-02-27,2024-02-29,7,0,tuGuest El Rincón de Felisa,US$243,9.1,Wonderful,21
,2024-02-27,2024-02-29,7,0,BENDITA CASA,US$498,9.1,Wonderful,105
,2024-02-27,2024-02-29,7,0,Chezmoihomes Alhambra Penthouse,US$514,9.4,Wonderful,119
,2024-02-27,2024-02-29,7,0,"City Castle, Granada center, casa completa",US$637,9.7,Exceptional,55
,2024-02-27,2024-02-29,7,0,tuGuest Gran Via 42 Apartment,US$391,8.0,Very Good,67
,2024-02-27,2024-02-29,7,0,Apartamentos Turísticos Mauror,US$648,9.4,Wonderful,718
,2024-02-27,2024-02-29,7,0,Impresionante apartamento Palacio de Congresos,US$401,9.2,Wonderful,57
,2024-02-27,2024-02-29,7,0,"House&Cave Parking and Terrace, in the city",US$557,9.5,Exceptional,25
,2024-02-27,2024-02-29,7,0,Apartamentos la Mariana,US$541,9.5,Exceptional,122
,2024-02-27,2024-02-29,7,0,GRAN VÍA DELUXE,US$495,9.3,Wonderful,24
,2024-02-27,2024-02-29,7,0,Grace Apartments - 3 bedroom City Centre,US$428,9.7,Exceptional,182
,2024-02-27,2024-02-29,7,0,FAMILY CATEDRAL CENTRO,US$384,8.2,Very Good,53
,2024-02-27,2024-02-29,7,0,POWER HOME,US$400,8.8,Excellent,41
,2024-02-27,2024-02-29,7,0,"Casa Limon, Patio y Parking.",US$587,9.6,Exceptional,31
,2024-02-27,2024-02-29,7,0,Apartamento centro de Granada 2,US$234,9.3,Wonderful,14
,2024-02-27,2024-02-29,7,0,Riad Puertas del Albaicín,US$319,7.4,Good,414
,2024-02-27,2024-02-29,7,0,Casa Jardin Alhambra,US$649,9.5,Exceptional,51
,2024-02-27,2024-02-29,7,0,tuGuest San Agustin II Apartment,US$304,-,-,-
,2024-02-27,2024-02-29,7,0,Apartamento Casa Inés,US$326,8.8,Excellent,27
,2024-02-27,2024-02-29,7,0,Chezmoihomes Glow and elegant 4 BR apartment in the heart of granada parking free,US$591,9.1,Wonderful,79
,2024-02-27,2024-02-29,7,0,Apartamento Góngora,US$384,8.8,Excellent,46
,2024-02-27,2024-02-29,7,0,BiBo Suites Plaza Nueva,US$465,9.2,Wonderful,"2,862"
,2024-02-27,2024-02-29,7,0,Chapizhome,US$360,8.3,Very Good,549
,2024-02-27,2024-02-29,7,0,Casa de 3 habitaciones y 2 baños centrico,US$438,8.2,Very Good,61
,2024-02-27,2024-02-29,7,0,tuGuest S. Jerónimo Apartment,US$543,9.2,Wonderful,61
76%,,,,,,,,,
,2024-03-01,2024-03-04,2,0,tuGuest Chueca Apartment,US$410,8.8,Excellent,29
,2024-03-01,2024-03-04,2,0,APARTAMENTO CRiSTO DE LA YEDRA CON PARKING,US$359,8.2,Very Good,133
,2024-03-01,2024-03-04,2,0,Oleti Studio Granada,US$482,8.7,Excellent,273
,2024-03-01,2024-03-04,2,0,Room Mate Leo,US$389,8.8,Excellent,"4,205"
,2024-03-01,2024-03-04,2,0,Gran Hotel Luna de Granada,US$323,8.5,Very Good,"9,332"
,2024-03-01,2024-03-04,2,0,Vincci Albayzin,US$380,8.5,Very Good,"5,244"
,2024-03-01,2024-03-04,2,0,Pension Castil,US$175,8.4,Very Good,712
,2024-03-01,2024-03-04,2,0,Hotel Macià Monasterio de los Basilios,US$315,8.1,Very Good,"2,644"
,2024-03-01,2024-03-04,2,0,Barceló Carmen Granada,US$292,9.1,Wonderful,"1,052"
,2024-03-01,2024-03-04,2,0,Porcel Alixares,US$308,8.4,Very Good,"9,184"
,2024-03-01,2024-03-04,2,0,Eurostars Puerta Real,US$421,8.9,Excellent,"4,039"
,2024-03-01,2024-03-04,2,0,Abadía Hotel,US$331,8.5,Very Good,"4,139"
,2024-03-01,2024-03-04,2,0,Occidental Granada,US$307,8.7,Excellent,"3,058"
,2024-03-01,2024-03-04,2,0,Áurea Catedral by Eurostars Hotel Company,US$500,9.2,Wonderful,"5,531"
,2024-03-01,2024-03-04,2,0,Hotel Saray,US$309,8.4,Very Good,"9,513"
,2024-03-01,2024-03-04,2,0,Catalonia Granada,US$346,8.9,Excellent,"3,969"
,2024-03-01,2024-03-04,2,0,Atenas Granada,US$253,7.7,Good,"3,973"
,2024-03-01,2024-03-04,2,0,ISA Granada,US$377,8.6,Excellent,"2,545"
,2024-03-01,2024-03-04,2,0,Eurostars Gran Via,US$495,8.6,Excellent,"2,124"
,2024-03-01,2024-03-04,2,0,Porcel Navas,US$396,8.7,Excellent,"2,108"
,2024-03-01,2024-03-04,2,0,Hotel Monasterio Granada - Adults Only,US$251,6.9,Review score,"3,823"
