check-in,tipo,pax,1,6,8,13,15,20,22,27
2024-05-16,Hotel,5,87.47466666666666,85.36000000000001,80.31466666666667,78.47466666666666,69.81483760683764,73.72800000000001,76.76266666666668,80.25599999999999
2024-05-21,Hotel,5,54.861333333333334,44.077333333333335,49.95733333333334,54.93333333333334,48.84,49.874730564430244,45.080000000000005,46.178666666666665
2024-05-23,Hotel,5,68.296,62.00533333333334,69.60533333333332,65.42666666666666,71.47466666666666,67.056,68.31465524625267,66.944
2024-05-28,Hotel,5,52.14615384615385,57.251282051282054,52.86666666666667,59.135999999999996,52.47733333333333,54.22933333333334,55.285333333333334,55.622845435728465
2024-05-30,Hotel,5,61.114666666666665,64.87466666666667,69.92266666666666,72.35384615384616,78.39999999999999,75.43466666666667,76.66666666666667,69.94933333333334
2024-06-04,Hotel,5,47.864000000000004,47.21866666666667,46.928,48.512,45.68266666666667,48.73333333333333,47.936,49.624
2024-06-06,Hotel,5,77.312,81.87733333333334,89.19466666666666,80.8,72.2871794871795,70.39466666666668,69.73333333333333,72.66933333333333
2024-06-11,Hotel,5,45.78666666666666,39.912,47.56266666666667,48.66933333333333,50.73333333333333,46.01866666666666,45.56,48.174358974358974
2024-06-13,Hotel,5,79.97435897435896,61.861333333333334,64.93599999999999,68.32533333333335,65.06133333333334,67.296,70.45066666666666,70.488
2024-04-16,Hotel,7,50.483809523809526,63.65619047619048,64.78666666666666,60.76,62.078095238095244,53.72,73.84857142857142,65.62558356676004
2024-04-18,Hotel,7,97.00285714285714,94.8104761904762,96.04,124.23428571428572,92.10000000000001,88.3047619047619,94.85333333333334,92.08095238095238
2024-04-23,Hotel,7,79.69523809523808,77.53501400560224,70.5847619047619,71.4552380952381,73.24542124542124,70.21428571428571,67.37714285714286,65.77904761904762
2024-04-25,Hotel,7,83.48571428571428,94.01238095238095,88.96380952380952,83.99238095238094,94.18285714285713,85.66761904761904,98.16190476190478,92.71428571428572
2024-04-30,Hotel,7,69.92761904761905,77.78857142857143,74.9342857142857,94.35619047619048,88.27809523809525,82.93619047619048,95.18857142857144,94.8104761904762
2024-05-02,Hotel,7,121.9864349781648,117.53809523809525,122.14571428571429,125.20634920634922,119.91809523809525,120.41238095238094,123.64380952380952,115.70857142857143
2024-05-07,Hotel,7,53.24,51.117324250555704,54.393298059964735,49.96190476190477,51.24666666666667,55.56302521008403,61.25904761904763,55.44571428571428
2024-05-09,Hotel,7,83.49142857142857,53.24,81.09330010172334,77.0552380952381,77.78095238095239,71.70666666666666,83.05415499533147,67.70571428571428
2024-05-14,Hotel,7,55.48571428571429,57.30476190476191,45.89714285714286,47.88122340828223,55.377142857142864,56.10476190476191,43.02334267040149,70.43697478991596
2024-05-16,Hotel,7,78.33428571428571,78.20380952380953,75.58952380952381,87.24380952380953,78.13638583638583,76.58095238095238,80.40476190476191,77.57904761904761
2024-05-21,Hotel,7,52.72344322344322,45.74285714285714,44.26095238095238,45.91904761904761,47.12857142857143,43.28339032639352,46.168571428571425,46.94095238095238
2024-05-23,Hotel,7,65.28851540616246,63.146520146520146,63.30380952380953,62.97714285714286,66.58,71.53428571428572,69.11471579462511,66.47333333333334
2024-05-28,Hotel,7,64.85142857142857,54.124542124542124,52.938375350140056,54.5,58.83238095238095,52.450476190476195,56.32380952380952,52.33448288959482
2024-05-30,Hotel,7,66.14571428571428,64.95879120879121,77.76648351648352,80.6311858076564,69.92952380952381,72.00952380952381,72.50380952380952,77.47047619047619
2024-06-04,Hotel,7,43.28479853479854,43.5970695970696,46.72527472527472,48.16156462585034,50.451465201465204,52.92952380952381,44.41428571428572,44.38476190476191
2024-06-06,Hotel,7,83.89809523809524,77.10457516339869,77.36134453781513,79.61437908496733,84.1117216117216,77.171802054155,70.49809523809525,70.63047619047619
2024-06-11,Hotel,7,50.08216619981326,40.58761904761905,52.43315018315018,34.97161172161172,46.43315018315018,48.63265306122449,45.68223443223443,46.12271062271063
2024-06-13,Hotel,7,60.33426704014939,58.46190476190477,64.69809523809523,68.64332399626518,65.8328664799253,70.09615384615384,65.94047619047619,65.20421245421245
